year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2006,Ford,F-150,Lariat,SuperCrew,,1ftpw14556fa67465,pa,47.0,90248.0,green,tan,carsense incorporated,13950.0,15300.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn500985,co,37.0,51382.0,black,black,avis corporation,12200.0,12800.0,Wed Mar 04 2015 03:45:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg3er181280,ca,4.0,31237.0,red,black,avis rac/san leandro,18350.0,19300.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2010,Chevrolet,Suburban,1500 LT,SUV,automatic,1gnukje36ar105750,nv,28.0,93654.0,red,gray,remarketing by ge/frontier financil credit union,20700.0,18000.0,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
2013,Volkswagen,Passat,TDI SE,Sedan,automatic,1vwbn7a38dc037875,nj,38.0,69713.0,black,tan,wheels exchange llc,14250.0,13900.0,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2010,Dodge,Charger,Base,Sedan,automatic,2b3ca4cd1ah237708,ca,27.0,76947.0,silver,black,high bid trading co inc,9125.0,8750.0,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae5dh405291,ga,44.0,16781.0,white,tan,hyundai motor finance,11600.0,11500.0,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2004,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,1gchk23184f159011,ga,22.0,163720.0,white,tan,carworks inc,15000.0,16100.0,Thu May 14 2015 03:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0cgxcr251318,mn,34.0,26636.0,—,gray,ford motor credit company llc,15250.0,15000.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae6du767535,oh,37.0,31649.0,red,black,hyundai motor finance,13350.0,12800.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb6d7270664,il,32.0,52262.0,white,black,the hertz corporation,9650.0,10200.0,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
2010,Cadillac,Escalade ESV,Premium,SUV,automatic,1gyukjef0ar209261,ca,34.0,53162.0,silver,black,j star fiat & maserati of anaheim hills,32900.0,34500.0,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2011,GMC,Terrain,SLT-1,SUV,,2ctaluec9b6308921,nc,37.0,108317.0,gray,black,emkay inc,11600.0,11500.0,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2004,Ford,F-150,FX4,SuperCab,,1ftpx14584nc18511,tx,1.0,150943.0,red,—,david mcdavid ford ft worth,5750.0,2800.0,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2010,Mitsubishi,Outlander,ES,SUV,,ja4as2aw1az006801,pa,19.0,31749.0,gray,black,mmca  inc,8625.0,7300.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
1999,ford,f250,4x4 ext lariat,,automatic,1ftnx21s6xed31322,mo,28.0,137683.0,—,beige,ford-lincoln dealer program,4000.0,7200.0,Mon Jan 06 2014 10:30:00 GMT-0800 (PST)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f36ca069216,il,43.0,28480.0,red,beige,ahfc/honda lease trust/hvt  inc. eot,12300.0,11800.0,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
2010,Jeep,Patriot,Sport,SUV,automatic,1j4nf2gb5ad601626,va,38.0,76984.0,orange,gray,consolidated asset recovery systems  inc.,8275.0,8500.0,Thu Mar 05 2015 00:50:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj5dm202190,mn,43.0,57909.0,gray,black,the hertz corporation,8400.0,9600.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a7xcg064326,fl,46.0,29924.0,white,gray,fuccillo kia of cape coral,14450.0,14100.0,Wed Jan 21 2015 08:00:00 GMT-0800 (PST)
2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt55n789140852,in,28.0,153843.0,red,tan,onemain remarketing services,3300.0,3100.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx9duc46378,nv,44.0,31037.0,white,gray,ford motor credit company llc,17750.0,18000.0,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
2010,Chevrolet,Malibu,LT1,sedan,automatic,1g1zc5eb2af311250,nc,29.0,82195.0,gray,black,curb automotive group llc,7550.0,8400.0,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2004,Chevrolet,Silverado 2500HD,Base,Extended Cab,,1gchk29u84e374248,va,,74747.0,black,—,sullivan auto trading inc,10100.0,12800.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2010,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee3ac458096,az,19.0,61766.0,gray,gray,remarketing by ge/nextgear capital,8175.0,7000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2005,Cadillac,STS,V6,sedan,automatic,1g6dw677550216409,ga,34.0,107422.0,white,beige,enterprise veh exchange/rental,4225.0,5500.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Fiesta,SE,Hatchback,,3fadp4ej5em108114,pa,44.0,35298.0,red,gray,avis corporation,10550.0,10200.0,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
2005,Toyota,Corolla,CE,Sedan,automatic,1nxbr32e95z474159,tx,2.0,121077.0,red,brown,titlemax/san antonio tx24,4275.0,2500.0,Wed Dec 31 2014 00:00:00 GMT-0800 (PST)
2005,Ford,Focus,ZX5 SE,Hatchback,automatic,3fafp37nx5r106929,ga,2.0,93937.0,burgundy,gray,five star ford lincoln mercury,2875.0,2800.0,Fri Jan 30 2015 03:00:00 GMT-0800 (PST)
2011,Mercedes-Benz,M-Class,ML350 BlueTEC,suv,automatic,4jgbb2fb5ba719860,pa,4.0,51144.0,—,beige,r hollenshead auto sales inc,24400.0,23000.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f22dl213419,ca,3.0,62801.0,white,black,dtg operations inc,8450.0,8000.0,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2009,Chrysler,300,C,Sedan,,2c3lk63tx9h601641,pa,26.0,39213.0,red,gray,smith haven chrysler jeep dodge,15050.0,16500.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2013,Nissan,Murano,SV,SUV,automatic,jn8az1mu7dw213886,il,41.0,11802.0,burgundy,tan,nissan north america inc.,20000.0,19200.0,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2007,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4gp44l67r195515,la,19.0,82584.0,white,gray,jpmorgan chase bank n.a.,4800.0,2900.0,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
2001,Pontiac,Grand Am,SE,Sedan,automatic,1g2ne52t91m612630,fl,1.0,207844.0,white,black,coggin buick-gmc of orange park,675.0,400.0,Thu Mar 05 2015 05:00:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4aexdu531870,ca,44.0,44850.0,blue,tan,enterprise veh exchange/rental,9475.0,10000.0,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae0du584576,tx,41.0,13532.0,gray,gray,hyundai motor finance,10550.0,11300.0,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2007,Jeep,Wrangler,X,SUV,automatic,1j4fa24127l142861,ga,37.0,108562.0,silver,beige,carworks inc,10650.0,12600.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae32cs511530,fl,43.0,20031.0,beige,tan,gm financial leasing,24900.0,23400.0,Thu Feb 26 2015 01:40:00 GMT-0800 (PST)
2008,Chevrolet,Tahoe,LT,suv,automatic,1gnfk13008r188359,nv,32.0,86840.0,blue,gray,unique autos,20600.0,20750.0,Fri Jun 05 2015 04:55:00 GMT-0700 (PDT)
2001,Mazda,Protege,ES,Sedan,automatic,jm1bj225210445822,oh,1.0,185632.0,silver,black,select remarketing group llc/loan max title,1350.0,400.0,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs1c2092134,tn,41.0,10064.0,silver,black,fiserv/usb dealer services northstar exchange,18000.0,16500.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LTZ,sedan,automatic,2g1wc5e34d1222125,ca,41.0,57692.0,silver,black,the hertz corporation,10450.0,10500.0,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k29u801086,ga,27.0,85070.0,black,gray,jpmorgan chase bank n.a.,8725.0,8300.0,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyzu3lb3dg043810,oh,15.0,27329.0,red,tan,wells fargo dealer services,17150.0,10500.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a64fg573331,tx,45.0,14077.0,burgundy,tan,kia motors america  inc,19400.0,19200.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Wrangler,Unlimited,suv,manual,1j4fa44s35p351391,tn,24.0,92380.0,silver,gray,midtown motors,13850.0,7500.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajea71c94sg03130,tn,1.0,135816.0,silver,—,westlake financial services,2725.0,1000.0,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dn514829,il,26.0,58180.0,white,black,dtg operations inc,12250.0,11900.0,Tue Jan 27 2015 03:15:00 GMT-0800 (PST)
2011,Ford,E-Series Van,E-250,e-series van,automatic,1ftne2el7bda52937,nc,37.0,107638.0,white,gray,ari,12150.0,14800.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0d7320291,il,22.0,53566.0,white,black,the hertz corporation,9900.0,9900.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2005,Chevrolet,Malibu,Base,Sedan,automatic,1g1zs52f45f136970,pa,38.0,44341.0,white,gray,alans autos,4275.0,5700.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2006,Acura,TL,Base,Sedan,automatic,19uua662x6a036910,fl,19.0,110763.0,black,black,central florida educators fcu,7750.0,7800.0,Wed Feb 25 2015 01:10:00 GMT-0800 (PST)
2008,BMW,X5,3.0si,SUV,automatic,5uxfe43548l002384,ga,2.0,93153.0,black,black,financial services remarketing (lease),14450.0,13300.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2012,Ford,F-250 Super Duty,XL,Crew Cab,automatic,1ft7w2bt3cea78733,tx,19.0,145297.0,black,gray,enterprise fleet management exchange  inc.,14900.0,18100.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325xi,Sedan,automatic,wbaeu33472ph86562,wa,32.0,72546.0,silver,black,bmw seattle,3900.0,6100.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5ek0b1271167,ca,34.0,50137.0,black,black,national fleet wholesale inc,9475.0,9200.0,Wed May 27 2015 05:00:00 GMT-0700 (PDT)
2014,Dodge,Journey,SXT,SUV,,3c4pdccg0et136250,on,44.0,26949.0,silver,black,chrysler canada inc,18850.0,19300.0,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv1ah267956,ut,22.0,77878.0,silver,black,capital one auto finance,10150.0,9400.0,Wed May 13 2015 04:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn487934,ca,19.0,53427.0,silver,gray,tdaf remarketing,10800.0,7600.0,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
1994,Isuzu,Trooper,S,suv,automatic,jacdh58v1r7919466,fl,2.0,130515.0,gold,brown,gettel hyundai,850.0,1050.0,Thu Jun 11 2015 09:00:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap7dc170293,pa,34.0,26127.0,white,black,nissan-infiniti lt,14050.0,13900.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2012,Ford,Flex,Limited,Wagon,automatic,2fmhk6dc2cbd18530,mi,46.0,24649.0,brown,black,ford motor credit company llc,23900.0,26400.0,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j98eub34253,mo,41.0,37661.0,silver,black,ars/avis budget group,21500.0,21200.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
1998,Toyota,Camry,CE,sedan,automatic,4t1bg22kxwu386020,fl,22.0,186854.0,gray,gray,coral springs honda,1075.0,1300.0,Fri May 29 2015 02:30:00 GMT-0700 (PDT)
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg6dr522415,mi,34.0,43222.0,white,black,chrysler capital,13200.0,11200.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2007,Toyota,4Runner,Limited,SUV,automatic,jtebt17r478040681,il,,116480.0,gold,—,primo motor cars,12600.0,12300.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b53ch538502,nj,38.0,15319.0,black,gray,ahfc/honda lease trust/hvt  inc. eot,12200.0,11200.0,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
2009,Volkswagen,New Beetle,2.5L,Hatchback,automatic,3vwpw31c19m504443,fl,34.0,68615.0,green,black,remarketing of america,6175.0,4800.0,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2003,Nissan,Maxima,GLE,Sedan,automatic,jn1da31d23t511619,md,2.0,110529.0,white,beige,purple heart services inc,3100.0,650.0,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2012,Cadillac,CTS-V Coupe,Base,cts-v coupe,automatic,1g6dv1ep1c0130410,tx,49.0,11647.0,black,—,hopper motorplex inc,44000.0,44000.0,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2001,Jeep,Wrangler,Sahara,SUV,manual,1j4fa59s61p359784,tx,34.0,114229.0,green,green,caprock auto remarketing,7150.0,8000.0,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43g58h220054,ca,21.0,126855.0,gray,gray,california auto finance,5600.0,5000.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,,1n4al3apxdc159143,pa,48.0,23258.0,—,black,nissan-infiniti lt,14200.0,13700.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f20el238966,mn,39.0,37002.0,red,black,ars/avis budget group,10500.0,9900.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Nissan,Frontier,SV,king cab,automatic,1n6bd0ct4cc429774,pr,39.0,31214.0,black,black,oriental bank,15800.0,16800.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2013,Nissan,Murano,SL,suv,,jn8az1mu0dw206200,il,49.0,15672.0,beige,beige,nissan north america inc.,23600.0,23700.0,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
2000,Jaguar,S-Type,3,Sedan,automatic,sajda01cxyfl09170,ca,3.0,158837.0,gold,beige,car zone motors llc,1075.0,500.0,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
2007,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e07c818625,md,31.0,115915.0,gray,gray,remarketing by ge/nextgear capital,5425.0,5300.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Jeep,Compass,Sport,suv,automatic,1c4njcbb5cd724492,fl,44.0,38102.0,silver,black,universal nissan,11450.0,12000.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
2012,Cadillac,CTS Coupe,Performance,CTS Coupe,,1g6dl1e37c0101318,pa,44.0,39832.0,white,black,924 auto corp,20900.0,23700.0,Fri Feb 06 2015 00:45:00 GMT-0800 (PST)
2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb8gb1ba657925,tn,36.0,30740.0,black,brown,mercedes-benz financial services,27600.0,27000.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k79r117320,fl,2.0,165908.0,white,beige,bmw of cape cod,5575.0,7000.0,Thu Feb 19 2015 01:50:00 GMT-0800 (PST)
2009,Mitsubishi,Lancer,ES-Sport,Sedan,automatic,ja3au26ux9u005936,nc,19.0,141358.0,black,black,fred anderson nissan of fayetteville,3700.0,3400.0,Mon Mar 09 2015 02:00:00 GMT-0700 (PDT)
2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1ly9d0160636,mi,39.0,51910.0,red,black,the hertz corporation,8250.0,8500.0,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2013,Kia,Forte,EX,Sedan,automatic,knafu4a24d5698348,fl,2.0,51632.0,black,gray,remarketing by ge/north american fleet sales inc,9475.0,8000.0,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
2002,GMC,Sierra 1500,SL,Extended Cab,automatic,2gtek19t621257805,ca,19.0,244834.0,blue,gray,yucca valley chrysler plymouth dodge inc,1375.0,1650.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k22cl379414,ga,37.0,58746.0,—,black,dollar thrifty automotive group,8925.0,9200.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2009,Ford,Explorer,Eddie Bauer,suv,automatic,1fmeu74ex9ua42105,nc,19.0,116544.0,blue,—,crossroads ford of indian trail,8900.0,7100.0,Mon Jun 15 2015 02:00:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn476896,mi,43.0,53686.0,black,black,the hertz corporation,12100.0,11800.0,Thu Feb 26 2015 02:15:00 GMT-0800 (PST)
2010,Jeep,Liberty,Limited,SUV,automatic,1j4pn5gk7aw115059,mo,36.0,52451.0,burgundy,black,bank of america,14550.0,15200.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k2xdl267718,il,26.0,42712.0,black,gray,avis corporation,11050.0,10700.0,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
2012,GMC,Acadia,SLE,SUV,automatic,1gkkrped5cj198452,oh,42.0,40912.0,gray,black,fiserv/usb dealer services northstar exchange,18350.0,18200.0,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2010,Mazda,Mazda3,s Sport,Sedan,automatic,jm1bl1s55a1174186,tn,28.0,78696.0,red,gray,prestige financial services,7700.0,7000.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2007,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab61e67l639818,tn,19.0,136387.0,—,gray,united auto credit/atlanta,3325.0,3450.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
2012,Toyota,RAV4,Limited,SUV,automatic,2t3dk4dv8cw077112,pa,47.0,30922.0,white,beige,adcock brothers inc,20900.0,20700.0,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2015,Buick,LaCrosse,Premium II Group,Sedan,,1g4gf5g3xff161175,fl,3.0,13395.0,silver,tan,gm remarketing,29600.0,29600.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,sedan,automatic,kmhdh4ae9du012511,fl,44.0,13237.0,silver,gray,hyundai of new port richey,11850.0,12200.0,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag9cc105125,oh,43.0,34476.0,black,black,fiserv/usb dealer services northstar exchange,23100.0,25300.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2007,Ford,Expedition,XLT,SUV,,1fmfu155x7la59876,nc,35.0,137207.0,blue,tan,crossroads ford of wake forest inc,7225.0,8400.0,Mon Mar 09 2015 02:00:00 GMT-0700 (PDT)
2011,Infiniti,M37,Base,Sedan,automatic,jn1by1ap8bm325853,ca,43.0,35799.0,black,black,nissan infiniti lt,25100.0,24500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f54ce041956,il,35.0,34765.0,red,beige,ahfc/honda lease trust/hvt  inc. eot,10950.0,10700.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k189205506,fl,23.0,137848.0,brown,gray,innovate loan servicing corp,3850.0,2400.0,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg3er477581,pa,4.0,14420.0,white,black,enterprise holdings/gdp,17150.0,17000.0,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
2014,Porsche,911,Carrera,Coupe,automatic,wp0aa2a92es107394,ca,41.0,9581.0,red,black,the hertz corporation,71000.0,71000.0,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2005,Acura,TSX,Base,Sedan,automatic,jh4cl96825c015173,ga,19.0,85617.0,black,tan,nalley bmw,7250.0,6700.0,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
2004,Dodge,Grand Caravan,SE,Minivan,automatic,1d4gp24r74b563347,tx,25.0,105267.0,silver,gray,rlb investments,2500.0,2500.0,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
2007,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38837b064412,nc,35.0,178974.0,gray,gray,boyd chevrolet buick gmc,5375.0,5100.0,Mon Jan 19 2015 01:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja9cr378723,ca,35.0,52942.0,burgundy,black,the hertz corporation,11300.0,10900.0,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k991209141,nj,34.0,78057.0,silver,gray,santander consumer,7075.0,7900.0,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb0e7333943,tx,41.0,15693.0,blue,black,music city autoplex llc,15000.0,15500.0,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z07r207345,nj,19.0,144167.0,black,tan,all american ford of kingston llc,3150.0,2300.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar0bm412111,nj,43.0,41919.0,gray,black,nissan infiniti lt,17600.0,18200.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a35dc082427,fl,2.0,30961.0,—,black,vw credit,13800.0,11800.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,,wba3c1c50cf431907,nj,25.0,24294.0,silver,gray,bmw of mount laurel,24600.0,23000.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2012,Lexus,ES 350,Base,sedan,automatic,jthbk1eg8c2512479,fl,41.0,34373.0,blue,beige,lexus financial services,20700.0,20000.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc153059,ms,32.0,114365.0,silver,black,exeter finance corp,8675.0,8100.0,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
2009,Honda,Civic,LX,Sedan,automatic,19xfa16579e033520,ca,35.0,82587.0,silver,beige,cabe toyota,7400.0,8500.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2012,Ford,F-150,Platinum,SuperCrew,automatic,1ftfw1et0cfa04682,mo,36.0,81061.0,white,gray,ford motor credit company llc,27000.0,26900.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a71cg036656,fl,3.0,54076.0,white,beige,hyundai motor finance,13150.0,12300.0,Wed May 27 2015 02:10:00 GMT-0700 (PDT)
2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak0cw213318,fl,45.0,60799.0,black,black,tdaf remarketing,12050.0,13000.0,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
2009,Ford,F-150,FX4,supercrew,,1ftpw14v59fb37602,ab,29.0,186846.0,black,black,1428879 alberta ltd,14000.0,10200.0,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1efxbfa06030,pa,28.0,128626.0,white,gray,mobilease,14700.0,13300.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2003,Ford,Focus,SE,Wagon,automatic,1fafp36313w210865,oh,23.0,128110.0,white,gray,cnac corporate office/columbus,1400.0,1900.0,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
2011,GMC,Sierra 1500,SL,Extended Cab,automatic,1gtr1uea4bz229714,tn,32.0,74516.0,—,black,sullivan auto group llc,13100.0,13300.0,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2011,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc3br760878,tx,43.0,14790.0,,,ford-lincoln dealer program,15050.0,15200.0,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl5d5000316,fl,41.0,24874.0,black,black,lexus financial services,34000.0,33600.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2013,Mazda,Mazda5,Touring,Minivan,automatic,jm1cw2cl1d0150492,ca,35.0,39272.0,red,gray,avis corporation,11300.0,12400.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2010,ford,e150,cargo commercial,,automatic,1ftne1ew8ada94892,ca,36.0,248630.0,white,gray,lease plan usa,4475.0,4500.0,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2006,Pontiac,Solstice,Base,Convertible,manual,1g2mb33b56y108249,va,27.0,154367.0,black,black,fair oaks chrysler jeep dodge,4250.0,3500.0,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
2007,Subaru,Outback,2.5 XT Limited,wagon,automatic,4s4bp63c274305141,nj,2.0,172287.0,silver,black,dch honda of nanuet,4075.0,3500.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h74dr120483,tx,43.0,39052.0,blue,tan,donlen corporation,13400.0,13300.0,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
